Date,Price,Open,High,Low,Vol.,Change %,
10-Jan-18,487.5,487.5,487.5,487.5,-,-0.57%,
9-Jan-18,490.3,490.3,490.3,490.3,-,0.00%,
8-Jan-18,490.3,490.3,490.3,490.3,-,-0.37%,
5-Jan-18,492.1,492.1,492.1,492.1,-,0.37%,
4-Jan-18,490.3,490.3,490.3,490.3,-,0.88%,
3-Jan-18,486,486,486,486,-,0.79%,
2-Jan-18,482.2,482.2,482.2,482.2,0.21K,0.37%,
29-Dec-17,480.4,485.3,485.3,476.8,0.17K,-0.60%,
28-Dec-17,483.3,491.7,492.5,478.3,2.95K,-1.27%,
27-Dec-17,489.5,499,500.8,489,5.78K,-1.35%,
22-Dec-17,496.2,492.2,498.4,491.2,5.27K,0.83%,
21-Dec-17,492.1,494.1,495,490.8,4.81K,-0.55%,
20-Dec-17,494.8,494.6,496.2,493,6.03K,0.20%,
19-Dec-17,493.8,491.5,494.6,490.4,5.98K,0.53%,
18-Dec-17,491.2,495,495.1,490.6,10.79K,-0.77%,
15-Dec-17,495,494,496.2,493.3,12.96K,0.20%,
14-Dec-17,494,498.7,498.9,493.8,14.00K,-0.94%,
13-Dec-17,498.7,500.1,500.9,497.1,12.68K,-0.28%,
12-Dec-17,500.1,502.5,503.4,499.6,15.40K,-0.48%,
11-Dec-17,502.5,504.6,504.6,502,15.50K,-0.51%,
8-Dec-17,505.1,506,506.8,504,10.53K,-0.16%,
7-Dec-17,505.9,507.6,507.9,505,7.94K,-0.41%,
6-Dec-17,508,509.7,510,504.1,13.06K,-0.33%,
5-Dec-17,509.7,506.8,511.2,506,10.62K,0.45%,
4-Dec-17,507.4,506.1,509.8,506.1,8.51K,0.26%,
1-Dec-17,506.1,509.1,510.6,504.6,12.98K,-0.69%,
30-Nov-17,509.6,510,514.1,509,11.60K,-0.16%,
29-Nov-17,510.4,508.1,512.3,507,12.88K,0.33%,
28-Nov-17,508.7,507.5,509.5,506.5,15.65K,0.18%,
27-Nov-17,507.8,510.2,513.3,506.5,12.82K,-0.63%,
24-Nov-17,511,512.7,516.9,509.5,15.58K,-0.33%,
23-Nov-17,512.7,515.1,515.8,512.6,4.58K,-0.50%,
22-Nov-17,515.3,514.2,517.8,514.2,5.75K,0.04%,
21-Nov-17,515.1,516,517.6,514.6,7.88K,-0.17%,
20-Nov-17,516,519.2,519.2,514.5,7.92K,-0.65%,
17-Nov-17,519.4,517.2,520.9,516.3,10.96K,0.39%,
16-Nov-17,517.4,518.8,518.8,516.2,9.55K,-0.35%,
15-Nov-17,519.2,512.5,519.7,511.7,12.77K,1.78%,
14-Nov-17,510.1,510.1,510.1,510.1,-,-0.49%,
10-Nov-17,512.6,512.6,512.6,512.6,-,-0.08%,
9-Nov-17,513,513,513,513,-,-1.02%,
8-Nov-17,518.3,518.3,518.3,518.3,-,0.14%,
7-Nov-17,517.6,517.6,517.6,517.6,-,0.23%,
6-Nov-17,516.4,516.4,516.4,516.4,-,0.41%,
3-Nov-17,514.3,512.7,512.7,512.7,0.01K,-0.79%,
2-Nov-17,518.4,517.9,517.9,517.9,0.00K,0.74%,
1-Nov-17,514.6,514.3,516.6,511.3,0.07K,0.06%,
31-Oct-17,514.3,507.4,513.5,506.3,1.59K,1.46%,
30-Oct-17,506.9,509.1,511.1,506.7,6.57K,-0.65%,
27-Oct-17,510.2,506.9,510.9,506.9,5.92K,0.47%,
26-Oct-17,507.8,505.6,511,505.3,6.71K,0.42%,
25-Oct-17,505.7,501.9,506.5,501.9,9.01K,0.82%,
24-Oct-17,501.6,502.2,503.2,500.5,10.18K,-0.12%,
23-Oct-17,502.2,501.6,504.8,501.6,10.49K,0.00%,
20-Oct-17,502.2,500.1,505.5,500.1,15.21K,0.20%,
19-Oct-17,501.2,498.9,501.5,496,11.95K,0.60%,
18-Oct-17,498.2,498.9,500.5,496.8,10.33K,-0.20%,
17-Oct-17,499.2,497.7,501.2,497.7,9.84K,0.16%,
16-Oct-17,498.4,497.7,501.8,497.5,13.08K,-0.12%,
13-Oct-17,499,495.2,500.5,494.6,15.25K,0.67%,
12-Oct-17,495.7,493.5,500,491.5,21.00K,0.45%,
11-Oct-17,493.5,495.1,495.8,492.7,12.65K,-0.34%,
10-Oct-17,495.2,496.2,498.3,495.1,14.70K,-0.30%,
9-Oct-17,495.2,496.2,498.3,495.1,11.61K,-0.30%,
6-Oct-17,496.7,495,497.6,494.7,8.52K,0.30%,
5-Oct-17,495.2,492.6,496.7,492.6,12.79K,0.36%,
4-Oct-17,493.4,493,494,492,10.10K,0.06%,
3-Oct-17,493.1,490.2,493.9,489.6,6.37K,0.33%,
2-Oct-17,491.5,492.4,492.9,489.7,9.64K,-0.18%,
29-Sep-17,492.4,490.3,494.9,489.7,9.52K,0.33%,
28-Sep-17,490.8,493.1,493.1,489.7,6.64K,-0.39%,
27-Sep-17,492.7,491.6,493.5,488,14.34K,0.14%,
26-Sep-17,492,494.9,497.4,491,11.58K,-0.67%,
25-Sep-17,495.3,494.4,495.9,491.3,8.04K,0.10%,
22-Sep-17,494.8,491.8,498.5,490.3,13.11K,0.55%,
21-Sep-17,492.1,493.6,494.3,491,6.52K,-0.16%,
20-Sep-17,492.9,491.1,495.1,490.9,7.50K,0.16%,
19-Sep-17,492.1,489.9,492.7,488.1,8.57K,0.45%,
18-Sep-17,489.9,489.1,490.8,486.9,7.96K,0.16%,
15-Sep-17,489.1,488.6,490.1,486.6,10.19K,0.10%,
14-Sep-17,488.6,487.1,491.5,486.8,11.66K,0.31%,
13-Sep-17,487.1,483.5,488.9,483.5,11.05K,0.56%,
12-Sep-17,484.4,485.8,486.9,482.5,19.46K,-0.27%,
11-Sep-17,485.7,489.7,489.7,484.3,15.30K,-0.82%,
8-Sep-17,489.7,491.6,494.2,488.7,9.82K,-0.47%,
7-Sep-17,492,496.8,498.9,491.6,13.95K,-1.05%,
6-Sep-17,497.2,496.3,500.7,494.3,15.33K,0.00%,
5-Sep-17,497.2,497.4,501.8,496.3,14.00K,-0.02%,
1-Sep-17,497.3,499.5,499.5,494.2,13.82K,-0.44%,
31-Aug-17,499.5,497.5,503,496.5,14.92K,0.28%,
30-Aug-17,498.1,498.9,502,497.2,11.33K,-0.14%,
29-Aug-17,498.8,502.3,502.3,497.6,13.35K,-0.64%,
28-Aug-17,502,499.6,505,499.6,8.55K,0.22%,
25-Aug-17,500.9,504.5,505.7,498.7,14.36K,-0.75%,
24-Aug-17,504.7,506.1,510.8,503.6,14.60K,-0.65%,
