Date,Price,Open,High,Low,Vol.,Change %,
16-Nov-17,7853.70,7283.00,7964.60,7119.20,133.94K,7.83%,
15-Nov-17,7283.20,6597.10,7330.10,6596.90,131.12K,10.40%,
14-Nov-17,6597.10,6522.50,6728.60,6419.20,96.50K,1.14%,
13-Nov-17,6522.50,5878.10,6760.10,5828.30,178.34K,10.96%,
10-Nov-17,6565.80,7129.60,7319.00,6406.00,222.00K,-7.91%,
9-Nov-17,7129.60,7444.40,7457.10,7040.80,126.77K,-4.23%,
8-Nov-17,7444.40,7102.20,7869.10,7027.00,220.22K,4.81%,
7-Nov-17,7102.80,6959.30,7222.40,6957.80,101.05K,2.06%,
6-Nov-17,6959.20,7389.50,7429.70,6934.70,159.69K,-5.82%,
3-Nov-17,7152.10,7024.80,7445.60,6938.90,154.89K,1.81%,
2-Nov-17,7024.80,6737.80,7339.90,6737.80,238.80K,4.26%,
1-Nov-17,6737.80,6449.10,6738.70,6355.00,133.19K,4.44%,
31-Oct-17,6451.20,6124.30,6467.20,6090.80,101.25K,5.34%,
30-Oct-17,6124.30,6147.70,6226.20,6019.00,78.62K,-0.38%,
27-Oct-17,5764.60,5887.60,5997.80,5692.30,83.93K,-2.09%,
26-Oct-17,5887.60,5734.00,5970.40,5689.90,93.68K,2.68%,
25-Oct-17,5734.00,5513.10,5748.00,5375.60,105.84K,4.01%,
24-Oct-17,5513.10,5903.60,5904.60,5463.40,143.74K,-6.62%,
23-Oct-17,5903.60,5982.90,6049.00,5644.20,137.14K,-1.32%,
20-Oct-17,5993.10,5698.60,6075.30,5611.40,123.86K,5.17%,
19-Oct-17,5698.60,5576.70,5737.40,5517.60,83.06K,2.20%,
18-Oct-17,5575.80,5598.60,5601.30,5114.90,122.02K,-0.41%,
17-Oct-17,5598.60,5759.30,5773.30,5521.10,65.64K,-2.79%,
16-Oct-17,5759.30,5677.40,5795.30,5576.10,61.36K,1.25%,
13-Oct-17,5637.30,5432.60,5852.80,5392.00,215.02K,3.77%,
12-Oct-17,5432.60,4824.20,5432.60,4815.00,163.92K,12.61%,
11-Oct-17,4824.20,4763.40,4874.90,4718.60,70.48K,1.28%,
10-Oct-17,4763.40,4777.50,4930.00,4722.80,98.49K,-0.30%,
9-Oct-17,4777.50,4611.70,4875.40,4556.10,110.19K,3.59%,
6-Oct-17,4371.90,4321.40,4422.10,4296.90,61.69K,1.17%,
5-Oct-17,4321.40,4218.70,4365.80,4143.40,63.61K,2.44%,
4-Oct-17,4218.70,4314.20,4355.30,4183.60,64.08K,-2.21%,
3-Oct-17,4314.20,4401.30,4436.00,4230.70,81.87K,-1.98%,
2-Oct-17,4401.30,4403.10,4477.40,4364.70,71.20K,-0.04%,
29-Sep-17,4172.80,4195.60,4237.50,4030.40,97.80K,-0.54%,
28-Sep-17,4195.60,4212.20,4274.60,4112.90,92.23K,-0.39%,
27-Sep-17,4212.20,3892.70,4232.40,3882.10,117.60K,8.21%,
26-Sep-17,3892.70,3932.80,3982.30,3858.80,63.25K,-1.02%,
25-Sep-17,3932.80,3667.50,3971.50,3665.70,100.20K,7.23%,
22-Sep-17,3600.80,3617.30,3753.50,3505.80,114.72K,-0.45%,
21-Sep-17,3617.30,3882.20,3912.80,3576.50,145.13K,-6.82%,
20-Sep-17,3882.20,3908.00,4053.00,3846.80,86.65K,-0.66%,
19-Sep-17,3908.00,4100.30,4120.70,3852.20,123.22K,-4.69%,
18-Sep-17,4100.30,3689.60,4122.80,3689.00,147.93K,11.13%,
15-Sep-17,3713.80,3243.10,3824.40,2979.90,448.55K,14.51%,
14-Sep-17,3243.10,3870.30,3930.70,3219.00,317.59K,-16.21%,
13-Sep-17,3870.30,4158.90,4174.60,3752.00,186.54K,-6.94%,
12-Sep-17,4158.90,4217.90,4387.80,4075.00,107.04K,-1.40%,
11-Sep-17,4217.90,4245.90,4364.40,4134.60,88.76K,-0.66%,
